Class,Distance,Class Change,Max B. Delta
ALW,8.0,-1.0,2.0
AN1X,8.0,-1.0,-6.0
AN2X,8.0,-1.0,5.0
AOC,8.0,-1.0,-5.631578947368421
CLM,8.0,-1.0,-3.0555555555555554
ClmN,8.0,-1.0,-1.5625
MCL,8.0,-1.0,-8.0
MOC,8.0,-1.0,9.0
MSW,8.0,-1.0,-1.3333333333333333
OClN,8.0,-1.0,-7.0
SOC,8.0,-1.0,2.6666666666666665
STR,8.0,-1.0,-1.0
Class,Distance,Class Change,Max B. Delta
AOC,5.0,-1.0,-5.333333333333333
CLM,5.0,-1.0,-0.75
ClmN,5.0,-1.0,-4.0
MCL,5.0,-1.0,-1.6666666666666667
OClN,5.0,-1.0,-5.0
SOC,5.0,-1.0,1.0
Class,Distance,Class Change,Max B. Delta
ALW,5.5,-1.0,-9.666666666666666
AOC,5.5,-1.0,-8.25
CLM,5.5,-1.0,-11.0
ClmN,5.5,-1.0,-9.428571428571429
MCL,5.5,-1.0,-7.666666666666667
STR,5.5,-1.0,-17.0
Class,Distance,Class Change,Max B. Delta
ALW,6.0,-1.0,5.0
AN1X,6.0,-1.0,-3.0
AN2L,6.0,-1.0,9.0
AN3L,6.0,-1.0,1.0
AOC,6.0,-1.0,-5.6
CLM,6.0,-1.0,-2.375
ClmN,6.0,-1.0,-5.583333333333333
MCL,6.0,-1.0,-0.2413793103448276
MSW,6.0,-1.0,-9.0
SOC,6.0,-1.0,-7.0
Class,Distance,Class Change,Max B. Delta
AN1X,6.5,-1.0,-5.0
AOC,6.5,-1.0,-4.2
CLM,6.5,-1.0,-4.285714285714286
ClmN,6.5,-1.0,-2.5
MCL,6.5,-1.0,-6.444444444444445
OClN,6.5,-1.0,0.0
SOC,6.5,-1.0,-1.0
STR,6.5,-1.0,-2.0
Class,Distance,Class Change,Max B. Delta
ALW,7.0,-1.0,5.0
AOC,7.0,-1.0,-8.0
CLM,7.0,-1.0,-7.5
ClmN,7.0,-1.0,-1.3333333333333333
MCL,7.0,-1.0,-19.5
STR,7.0,-1.0,-11.0
Class,Distance,Class Change,Max B. Delta
MSW,7.5,-1.0,5.0
Class,Distance,Class Change,Max B. Delta
Class,Distance,Class Change,Max B. Delta
CLM,8.32,-1.0,-3.5
ClmN,8.32,-1.0,-7.0
OClN,8.32,-1.0,-8.0
Class,Distance,Class Change,Max B. Delta
AN2L,8.5,-1.0,0.0
AN3L,8.5,-1.0,5.5
AOC,8.5,-1.0,-2.6666666666666665
CLM,8.5,-1.0,-4.375
ClmN,8.5,-1.0,-8.5
MCL,8.5,-1.0,-9.9
MSW,8.5,-1.0,-1.5
OClN,8.5,-1.0,-4.0
STR,8.5,-1.0,-1.0
Class,Distance,Class Change,Max B. Delta
ALW,9.0,-1.0,-2.0
AOC,9.0,-1.0,-3.5
CLM,9.0,-1.0,3.0
ClmN,9.0,-1.0,-7.0
MCL,9.0,-1.0,-14.5
STR,9.0,-1.0,-6.0
Class,Distance,Class Change,Max B. Delta
Class,Distance,Class Change,Max B. Delta
ALW,10.0,-1.0,-2.0
STR,10.0,-1.0,1.0
Class,Distance,Class Change,Max B. Delta
AOC,11.0,-1.0,-1.0
Class,Distance,Class Change,Max B. Delta
Class,Distance,Class Change,Max B. Delta
Class,Distance,Class Change,Max B. Delta
HCP,16.5,-1.0,-82.0
Class,Distance,Class Change,Max B. Delta
